dataset,language,feature extractor,ATD (%),ATD (%) English,Standard error,p-value,p < 0.05
Software,ES,sbert,1.73,1.69,0.0214,0.068494283,FALSE
Software,ES,tfidf,1.74,1.76,0.0279,0.626553625,FALSE
Software,DE,tfidf,1.84,1.76,0.0224,0.00047385,TRUE
PTSD,ES,tfidf,1.86,1.99,0.0413,0.006236787,TRUE
Software,DE,sbert,2,1.69,0.0196,2.58E-15,TRUE
Software,ES,doc2vec,2.01,2.16,0.0341,0.000402151,TRUE
Software,TR,doc2vec,2.08,2.16,0.0356,0.038851779,TRUE
Software,TR,tfidf,2.08,1.76,0.024,4.01E-13,TRUE
PTSD,TR,tfidf,2.16,1.99,0.0743,0.02905836,TRUE
PTSD,DE,tfidf,2.31,1.99,0.091,0.00236851,TRUE
Software,TR,sbert,2.73,1.69,0.0236,2.41E-25,TRUE
Software,DE,doc2vec,2.78,2.16,0.0372,5.21E-15,TRUE
Software,TR,fasttext,2.86,2.44,0.0216,1.61E-16,TRUE
PTSD,DE,doc2vec,3.46,4.39,0.1134,2.13E-08,TRUE
Software,ES,fasttext,3.75,2.44,0.0557,1.55E-14,TRUE
PTSD,TR,doc2vec,3.79,4.39,0.1327,0.000112848,TRUE
PTSD,ES,doc2vec,4.15,4.39,0.1603,0.153669436,FALSE
Software,DE,fasttext,5.55,2.44,0.0491,8.50E-23,TRUE
ACE,ES,tfidf,6.01,6.29,0.3864,0.46500944,FALSE
ACE,TR,tfidf,6.11,6.29,0.381,0.629020612,FALSE
ACE,DE,tfidf,6.17,6.29,0.4391,0.770738616,FALSE
PTSD,TR,sbert,6.6,6.21,0.1549,0.016888426,TRUE
Wilson,DE,tfidf,7.21,7.95,0.1401,2.92E-05,TRUE
ACE,DE,sbert,7.29,9.34,0.1415,2.36E-12,TRUE
Wilson,TR,doc2vec,7.96,11.66,0.6874,6.31E-05,TRUE
ACE,TR,sbert,8.12,9.34,0.2032,1.49E-05,TRUE
PTSD,TR,fasttext,8.28,7.5,0.0885,1.73E-09,TRUE
PTSD,ES,sbert,8.35,6.21,0.1647,2.73E-13,TRUE
Wilson,ES,tfidf,8.36,7.95,0.836,0.637311708,FALSE
ACE,ES,sbert,8.47,9.34,0.1551,2.02E-05,TRUE
ACE,TR,doc2vec,8.8,10,0.1926,1.56E-06,TRUE
Wilson,ES,doc2vec,8.88,11.66,0.6974,0.000976004,TRUE
ACE,ES,doc2vec,9.32,10,0.2088,0.002903475,TRUE
Virus,TR,tfidf,9.49,9.27,0.2123,0.313162938,FALSE
ACE,DE,doc2vec,9.54,10,0.3294,0.182914862,FALSE
Wilson,ES,sbert,9.55,13.18,0.8481,0.000426622,TRUE
Virus,ES,tfidf,9.57,9.27,0.1178,0.018212332,TRUE
Virus,DE,tfidf,9.7,9.27,0.1666,0.017731829,TRUE
PTSD,ES,fasttext,9.92,7.5,0.0968,8.61E-20,TRUE
Wilson,TR,tfidf,9.98,7.95,0.1828,1.07E-11,TRUE
Wilson,DE,doc2vec,10.21,11.66,0.7412,0.06424513,FALSE
Nudging,ES,tfidf,10.47,10.27,0.0891,0.033486631,TRUE
Wilson,DE,sbert,10.55,13.18,0.7904,0.004763537,TRUE
Nudging,DE,tfidf,10.84,10.27,0.106,2.02E-05,TRUE
Wilson,TR,sbert,10.96,13.18,0.8209,0.015122542,TRUE
Nudging,TR,tfidf,11.01,10.27,0.1106,1.17E-06,TRUE
Nudging,TR,doc2vec,11.07,11.03,0.2199,0.86233374,FALSE
Nudging,ES,doc2vec,11.56,11.03,0.232,0.032564747,TRUE
Nudging,DE,sbert,11.72,11.65,0.2691,0.821779635,FALSE
Virus,TR,doc2vec,11.83,11.76,0.1298,0.562182562,FALSE
Wilson,DE,fasttext,12.08,12.42,0.5136,0.515859737,FALSE
Nudging,ES,sbert,12.36,11.65,0.2995,0.026061892,TRUE
Virus,ES,sbert,12.51,11.43,0.1343,1.35E-07,TRUE
Nudging,DE,doc2vec,12.66,11.03,0.2495,7.83E-07,TRUE
Virus,DE,doc2vec,12.78,11.76,0.2059,8.81E-05,TRUE
Virus,ES,doc2vec,12.91,11.76,0.1428,2.13E-08,TRUE
Wilson,ES,fasttext,12.97,12.42,1.2745,0.670627297,FALSE
Nudging,TR,sbert,12.97,11.65,0.2618,2.52E-05,TRUE
Nudging,TR,fasttext,13.95,13.3,0.108,2.40E-06,TRUE
PTSD,DE,sbert,14,6.21,0.3062,1.39E-15,TRUE
PTSD,DE,fasttext,14.03,7.5,0.2565,4.21E-14,TRUE
ACE,ES,fasttext,14.08,13.9,0.4147,0.670290109,FALSE
Virus,TR,sbert,14.84,11.43,0.1482,3.62E-18,TRUE
Virus,DE,sbert,14.99,11.43,0.2636,7.27E-12,TRUE
ACE,TR,fasttext,15.33,13.9,0.9311,0.141765094,FALSE
Wilson,TR,fasttext,15.78,12.42,0.7015,5.60E-05,TRUE
Nudging,ES,fasttext,16.09,13.3,0.1449,1.75E-16,TRUE
Nudging,DE,fasttext,18.43,13.3,0.112,1.06E-27,TRUE
ACE,DE,fasttext,19.38,13.9,0.5076,3.36E-11,TRUE
Virus,ES,fasttext,20.11,17.85,0.1534,2.93E-12,TRUE
Virus,DE,fasttext,22.35,17.85,0.1504,2.52E-18,TRUE
Virus,TR,fasttext,22.52,17.85,0.1707,1.26E-16,TRUE
